Sum of balls,Sum of batsman_id,Sum of batsman_position,Sum of bowler_id,fielders,Sum of fours,Sum of innings,isout,Sum of match_id,Sum of runs,Sum of sixes,Sum of strikerate,team,wickettype
48,113179,12,77528,{10130},6,3,true,1811956,62,1,290.32,KKR,caught
0,49039,9,0,{10130},0,1,true,734043,0,0,0,KKR,run out
65,143619,18,174202,{10130},4,6,true,2930628,70,5,376.09,RCB,caught
40,116464,14,96596,{10130},4,3,true,1327355,42,0,144.14,Sunrisers,caught
67,155774,14,234907,{10130},10,7,true,3202700,77,1,441.55,Super Kings,caught
29,10384,2,0,{10130},3,2,true,733987,33,0,113.79,Super Kings,run out
37,83342,9,115857,{101306},7,2,true,2433086,64,2,347.72,Capitals,caught
33,60530,1,101780,{101306},4,2,true,1254111,49,2,148.48,Punjab Kings,caught
13,95315,1,87477,{101312},1,2,true,1304073,16,1,123.07,Capitals,caught
2,95315,3,0,{101312},0,2,true,1359494,0,0,0,Capitals,run out
21,75325,1,78239,{101312},4,2,true,1359528,42,4,200,Mumbai,caught
39,75719,6,164182,{101312},5,4,true,2608098,62,3,338.27,Punjab Kings,caught
35,66183,3,54674,{101312},3,2,true,1254103,44,1,125.71,RCB,caught
5,60806,4,50121,{101312},1,2,true,1359534,4,0,80,Royals,caught
62,299183,16,236394,{101312},13,8,true,5066337,104,5,775.7,Sunrisers,caught
2,56832,2,87477,{101312},0,2,true,1359517,0,0,0,Super Giants,caught
1,49247,5,78239,{101312},0,1,true,1304068,0,0,0,Super Kings,caught
14,102753,3,78239,{101312},2,2,true,1304089,20,0,142.85,Titans,caught
21,61990,4,64864,{101414},3,1,true,1304079,32,1,152.38,Mumbai,caught
7,59832,4,45257,{101414},1,1,true,1304084,19,2,271.42,Punjab Kings,caught
15,80645,5,54430,{101414},1,1,true,1304095,21,1,140,RCB,caught
38,95315,3,72103,{101424},7,1,true,1359538,54,1,142.1,Capitals,caught
26,61990,5,101430,{101424},7,2,true,1359505,57,3,219.23,Mumbai,caught
6,63035,9,205711,{101424},1,2,true,2719002,7,0,140,RCB,caught
12,96392,7,67296,{101424},1,2,true,1359540,20,2,166.66,Royals,caught
37,51216,2,0,"{101430,104770}",1,2,true,1254107,31,0,83.78,Sunrisers,run out
9,51012,6,0,"{101430,60530}",2,2,true,1254078,10,0,111.11,KKR,run out
56,157419,8,161268,{101430},12,4,true,2663589,115,7,408.9,Mumbai,caught
22,54222,5,104281,{101430},3,2,true,1304106,35,1,159.09,RCB,caught
14,168138,11,202860,{101430},2,3,true,2508172,19,1,266.66,Royals,caught
13,235427,15,307630,{101430},1,4,true,3687191,12,0,239.28,Sunrisers,caught
39,138404,20,206472,{101430},6,5,true,3862208,69,4,470,Super Kings,caught
32,54340,1,56596,{101751},6,2,true,1178396,50,3,156.25,KKR,caught
16,72393,5,54674,{101780},5,1,true,1254097,28,0,175,Capitals,caught
70,160371,14,183961,{101780},7,3,true,3862249,88,4,321.8,KKR,caught
17,48405,1,61832,{101780},0,2,true,1254081,14,1,82.35,Mumbai,caught
1,70405,5,61832,{101780},0,1,true,1254061,0,0,0,Punjab Kings,caught
24,49752,1,73507,{101792},2,1,true,1312198,25,0,104.16,RCB,caught
1,58435,9,0,"{101991,7593}",0,1,true,1359491,1,0,100,Royals,run out
9,75325,3,62022,{101991},1,1,true,1359523,7,0,77.77,Mumbai,caught
14,8813,7,80607,{101991},3,2,true,1359498,28,1,200,RCB,caught
16,61690,5,49247,{101991},1,2,true,1370350,17,1,106.25,Titans,caught
10,4176,1,47023,{10238},2,2,true,598003,15,1,150,Kings XI,caught
43,45256,1,51057,{10238},5,1,true,1082635,66,4,153.48,Mumbai,caught
1,111976,11,0,"{102735,59339}",0,2,true,1304099,2,0,200,KKR,run out
16,97478,4,206562,{102735},0,3,true,2608152,7,0,108.33,Capitals,caught
15,134853,4,169134,{102735},1,4,true,2608198,6,0,66.66,KKR,caught
10,48405,2,79151,{102735},1,1,true,1370351,11,1,110,Mumbai,caught
20,234618,24,282735,{102735},3,6,true,3967688,27,1,330.9,Punjab Kings,caught
29,102743,1,102735,{102735},6,1,true,1304109,41,1,141.37,Royals,caught
8,72505,8,59339,{102735},0,2,true,1304058,8,1,100,Sunrisers,caught
24,53891,5,59339,{102735},1,1,true,1304103,26,1,108.33,Titans,caught
4,110977,5,89779,{102738},0,1,true,1359490,2,0,50,Capitals,caught
1,67609,10,0,{102738},0,1,true,1359490,0,0,0,Capitals,run out
18,75591,7,69674,{102738},2,1,true,1359496,18,0,100,KKR,caught
51,63035,10,102210,{102738},12,2,true,2719056,98,5,372.72,RCB,caught
2,96803,8,0,"{102743,60806}",0,1,true,1359506,0,0,0,RCB,run out
